Категория: Все категории

Регионы,алкоголь: (15.05.2021 – 15.05.2022)
Ненецкий автономный округ,100
город Санкт-Петербург,95
город Москва,87
Чукотский автономный округ,80
Республика Карелия,80
Калининградская область,79
Камчатский край,78
Мурманская область,76
Тульская область,74
Республика Башкортостан,74
Краснодарский край,73
Приморский край,71
Республика Коми,70
Ленинградская область,70
Нижегородская область,70
Новгородская область,69
Тамбовская область,68
Хабаровский край,68
Московская область,68
Тюменская область,67
Амурская область,67
Вологодская область,67
Брянская область,67
Волгоградская область,66
Владимирская область,66
Самарская область,65
Ярославская область,65
Архангельская область,65
Рязанская область,65
Псковская область,65
Смоленская область,65
Новосибирская область,64
Липецкая область,64
Калужская область,64
Тверская область,64
Ивановская область,64
Иркутская область,64
Магаданская область,64
Сахалинская область,63
Республика Мордовия,63
Кировская область,63
Республика Саха (Якутия),63
Ульяновская область,63
Саратовская область,63
Республика Татарстан,62
Республика Алтай,61
Ростовская область,61
Чувашская Республика,60
Республика Калмыкия,60
Ямало-Ненецкий автономный округ,60
Воронежская область,60
Республика Хакасия,60
Оренбургская область,59
Челябинская область,59
Красноярский край,59
Белгородская область,59
Алтайский край,59
Томская область,59
Пензенская область,59
Кемеровская область,58
Костромская область,58
республика Удмуртия,58
Омская область,57
Свердловская область,57
Пермский край,57
Орловская область,57
Забайкальский край,56
Астраханская область,54
Курская область,53
Ставропольский край,53
Республика Марий Эл,52
Курганская область,52
Ханты-Мансийский автономный округ,52
Республика Бурятия,52
Еврейская автономная область,50
Республика Адыгея,42
Республика Северная Осетия-Алания,37
Республика Тува,37
Кабардино-Балкарская Республика,36
Карачаево-Черкесская Республика,31
Республика Дагестан,19
Чеченская Республика,14
Республика Ингушетия,13
