date,AAL,AAPL,AAP,ABBV,ABC,ABT,ACN,ADBE,ADI,ADM
2013-02-08,15.07,67.7142,78.34,36.37,46.52,34.39,73.01,38.31,44.72,30.31
2013-02-11,14.89,68.0714,78.65,36.13,46.85,34.42,73.09,38.99,45.99,30.26
2013-02-12,14.45,68.5014,78.39,35.77,46.7,34.27,72.89,38.55,46.15,30.22
2013-02-13,14.3,66.7442,78.9,35.42,46.74,34.29,73.32,38.9,46.29,30.91
2013-02-14,14.94,66.3599,78.66,35.05,46.67,34.28,73.21,38.7,46.02,31.03
2013-02-15,13.93,66.9785,78.83,36.93,46.77,34.84,73.08,38.51,46.39,31.72
2013-02-19,14.33,65.8714,79.12,37.54,46.67,35.18,74.28,38.58,46.4,32.58
2013-02-20,14.17,65.3842,80.42,38.16,47.22,34.7,75.4,39.04,46.9,33.09
2013-02-21,13.62,63.7142,79.26,38.49,46.48,34.47,74.69,38.82,45.7,32.32
2013-02-22,13.57,64.1785,79.2,38.79,46.48,34.18,74.15,38.54,45.1905,32.4
2013-02-25,13.6,64.8356,79.46,38.54,47.1,34.6,75.17,38.66,46.11,32.28
2013-02-26,13.14,63.4028,78.42,37.6,46.38,34.37,74.32,38.14,45.08,31.66
2013-02-27,13.28,64.0614,77.29,36.97,46.66,34.05,74.0,38.32,44.58,31.82
2013-02-28,13.49,63.4357,77.35,36.66,46.96,34.31,74.52,39.54,45.28,32.05
2013-03-01,13.37,62.5714,76.37,36.8,47.22,33.69,74.13,39.3,45.0,31.7
2013-03-04,13.5,61.1142,76.24,37.53,47.83,33.51,74.53,39.74,45.29,31.91
2013-03-05,14.01,60.2114,77.07,38.45,48.04,34.38,75.56,40.76,45.5,32.14
2013-03-06,14.52,62.0728,77.1,37.56,48.44,34.67,77.03,41.47,45.83,32.24
2013-03-07,14.7,60.6428,76.04,37.65,48.44,34.3,77.29,41.4,46.25,32.45
2013-03-08,14.99,61.3999,76.44,37.64,48.27,34.5,77.98,41.75,45.96,32.48
2013-03-11,14.85,61.3928,76.88,37.25,48.36,34.59,78.38,41.12,45.96,32.41
2013-03-12,15.14,62.2285,77.26,37.7,48.52,34.83,78.26,41.53,46.4,32.41
2013-03-13,15.54,61.2071,77.54,37.2,48.71,34.89,78.0,41.5,46.41,32.55
2013-03-14,15.98,61.8328,78.9,37.43,49.0,35.03,78.08,41.82,46.65,32.99
2013-03-15,16.45,62.5614,77.9,37.44,49.14,34.92,77.88,41.45,46.33,32.8
2013-03-18,15.8,63.0642,79.09,38.05,48.32,33.94,75.87,41.08,45.25,32.72
2013-03-19,16.48,65.6428,80.64,38.25,51.39,33.515,77.16,41.1,44.98,32.75
2013-03-20,17.13,65.3456,80.07,38.5,50.31,33.66,76.34,42.7,45.29,32.87
2013-03-21,17.21,64.3171,79.91,38.82,50.11,33.78,75.83,41.99,45.22,32.86
2013-03-22,17.1,64.9399,80.12,38.57,49.8,33.5,74.3,42.17,44.82,32.65
2013-03-25,16.92,66.3842,79.83,39.12,49.95,33.76,74.2,42.9,45.04,32.92
2013-03-26,16.67,66.4914,80.86,39.57,50.86,33.85,74.0,42.66,44.9,32.71
2013-03-27,16.48,65.2085,81.02,40.22,50.51,34.13,74.18,42.6,45.3,32.65
2013-03-28,17.0,64.2599,81.34,40.26,50.96,34.6,73.79,42.54,45.63,32.93
2013-04-01,17.02,63.1285,82.54,39.96,51.38,35.18,76.07,43.36,46.28,33.73
2013-04-02,16.48,61.0857,82.49,41.22,51.92,35.45,76.1,43.5,45.72,33.75
2013-04-03,15.82,61.6242,82.8,40.75,52.57,36.13,76.835,43.78,45.09,34.05
2013-04-04,15.12,61.9657,82.2,40.77,51.69,36.52,76.86,43.74,44.13,33.22
2013-04-05,15.17,60.6428,81.62,41.31,51.43,36.37,75.76,43.42,43.01,33.2
2013-04-08,15.82,60.6928,81.0,41.27,52.18,36.31,76.14,43.27,43.64,33.09
2013-04-09,16.07,60.9085,79.97,41.96,52.75,36.56,76.76,43.71,44.03,33.25
2013-04-10,15.74,61.1571,79.0,42.65,53.93,36.73,75.56,44.42,44.28,32.79
2013-04-11,15.77,61.9599,81.03,43.42,53.28,37.02,76.97,45.04,45.14,33.11
2013-04-12,16.11,62.0214,82.96,42.97,53.78,37.11,77.0,45.15,44.71,32.89
2013-04-15,16.2,60.9999,81.89,42.87,54.14,36.84,76.93,44.81,44.41,32.48
2013-04-16,15.96,60.2242,80.69,41.67,54.48,36.28,76.0,44.77,44.09,31.62
2013-04-17,16.17,60.0385,80.25,42.14,54.78,36.84,76.79,44.86,43.57,31.9
2013-04-18,16.54,57.8557,79.8,42.37,55.06,37.45,76.99,45.18,43.35,32.07
2013-04-19,16.1,55.4242,79.14,42.51,55.61,37.05,75.02,44.6,42.2,32.01
2013-04-22,15.99,56.0914,79.85,43.0,56.42,37.0,75.0,45.0,42.62,32.16
2013-04-23,15.33,57.7128,79.55,44.61,56.39,37.11,75.29,44.84,42.98,32.33
2013-04-24,16.26,56.2199,80.47,45.14,56.33,37.27,76.43,44.91,43.66,32.61
2013-04-25,16.55,58.7464,82.6,44.75,55.82,36.62,78.0,44.75,43.97,32.62
2013-04-26,16.38,58.5442,83.04,44.95,53.0,36.36,78.61,44.84,43.51,33.4
2013-04-29,16.7,60.0642,83.0,45.83,53.33,36.49,78.66,44.89,43.6,33.55
2013-04-30,16.8,62.1571,83.0,45.05,54.07,36.7,80.92,44.76,43.56,34.0
2013-05-01,16.91,63.4942,83.85,45.74,54.06,36.77,81.44,45.14,44.12,33.79
2013-05-02,16.72,63.1114,84.44,45.68,53.85,36.95,80.15,44.65,43.96,32.85
2013-05-03,17.02,64.4728,85.02,44.31,55.01,37.25,80.08,46.0,44.71,33.83
2013-05-06,17.05,65.1014,84.71,44.95,54.49,36.75,79.4,47.0,45.28,34.11
2013-05-07,17.15,66.4242,85.31,44.5,54.59,35.74,78.87,46.46,45.81,34.01
2013-05-08,17.01,65.5771,85.5,45.01,55.03,36.01,79.13,45.51,45.81,34.23
2013-05-09,17.53,65.6871,84.92,43.34,54.91,36.19,79.7401,45.22,45.95,34.34
2013-05-10,17.61,65.4242,84.8,44.21,54.98,36.25,80.34,44.12,46.56,33.86
2013-05-13,17.74,64.5014,85.25,44.79,54.68,36.05,80.06,43.98,46.53,34.05
2013-05-14,17.82,64.8356,85.18,44.09,54.47,36.42,79.91,43.7,46.22,33.74
2013-05-15,18.37,62.7371,85.96,45.72,55.0,37.13,80.5,44.06,46.29,33.97
2013-05-16,18.96,60.4628,86.32,46.06,54.64,37.45,80.56,44.96,46.69,34.38
2013-05-17,19.38,62.7214,85.57,46.03,54.44,36.82,80.7,44.6,46.84,34.2
2013-05-20,19.05,61.7014,85.79,47.12,55.01,36.95,82.94,44.55,46.82,34.95
2013-05-21,18.55,62.5928,87.17,46.19,54.77,37.85,82.65,44.21,46.68,34.3
2013-05-22,18.06,63.4357,87.25,46.46,54.72,37.76,82.97,44.12,45.65,34.68
2013-05-23,17.48,62.2785,84.57,46.12,54.32,37.49,81.76,42.66,45.22,33.7
2013-05-24,18.11,62.9785,83.75,46.25,54.36,37.17,82.04,42.32,45.2,34.06
2013-05-28,18.44,64.2714,84.0,45.89,54.77,37.98,83.27,42.78,45.62,34.17
2013-05-29,18.06,62.8571,83.14,44.89,54.17,38.26,82.52,42.75,45.7,33.99
2013-05-30,17.92,63.6642,82.34,44.07,54.0,37.72,83.02,42.65,45.66,33.53
2013-05-31,17.66,64.6428,81.78,44.27,54.49,37.49,82.25,42.92,45.92,33.13
2013-06-03,17.54,64.3899,81.54,42.88,54.01,36.63,82.48,42.98,45.94,32.31
2013-06-04,17.78,64.7456,82.39,43.42,52.73,37.06,82.0,43.67,46.22,32.69
2013-06-05,17.15,63.6642,81.96,43.49,53.04,36.72,81.25,44.39,45.92,32.91
2013-06-06,16.92,63.6385,81.77,43.22,52.81,36.24,79.74,43.84,45.58,32.71
2013-06-07,16.89,62.3571,83.49,43.72,52.7,36.95,80.84,43.86,45.73,32.98
2013-06-10,17.09,63.5328,84.32,44.33,53.13,37.47,81.28,44.3,46.21,33.03
2013-06-11,16.94,62.2485,82.89,43.31,53.96,37.14,80.64,43.6,45.47,32.8
2013-06-12,16.97,62.7857,83.09,43.91,55.02,37.08,80.84,43.31,45.43,33.34
2013-06-13,16.85,61.7857,82.44,42.42,54.61,36.33,79.89,42.74,44.12,32.86
2013-06-14,16.96,62.1999,82.61,42.98,54.44,36.68,80.91,43.33,45.14,33.31
2013-06-17,17.02,61.6342,82.58,43.4,55.13,37.07,81.28,43.22,45.11,33.23
2013-06-18,16.94,61.6514,82.5,42.97,55.68,36.98,82.64,43.55,46.02,33.23
2013-06-19,17.16,61.6285,83.3,43.56,55.78,37.27,82.87,46.43,46.44,33.86
2013-06-20,16.73,59.8999,83.69,42.65,55.47,36.07,81.11,45.28,45.6,32.99
2013-06-21,16.8,59.7842,83.02,41.66,54.24,35.4,79.69,44.92,44.91,33.01
2013-06-24,16.06,58.1999,79.85,42.07,54.02,35.29,79.06,44.34,44.68,32.75
2013-06-25,16.22,57.9571,80.71,42.15,53.74,35.28,80.05,44.04,44.62,33.32
2013-06-26,16.5,57.6999,80.78,43.1,53.78,35.41,80.48,44.95,45.01,33.42
2013-06-27,16.29,57.0357,80.22,43.56,55.37,35.77,80.22,45.9,45.42,33.79
2013-06-28,16.24,55.9085,80.01,42.53,55.5,35.3,71.8,45.99,45.14,33.57
2013-07-01,16.5,57.5271,81.72,41.4,56.11,34.97,72.14,45.23,45.0,34.11
2013-07-02,16.78,58.5657,82.0,41.58,55.04,34.97,71.73,46.0,45.28,34.37
2013-07-03,16.06,60.1228,81.22,41.88,54.5,34.72,71.88,45.71,45.17,34.57
2013-07-05,16.93,60.0557,82.62,42.45,55.51,34.58,73.25,46.69,45.99,34.9
2013-07-08,16.94,60.0157,83.1,42.9,55.83,34.95,74.01,47.03,46.27,34.88
2013-07-09,17.01,59.0857,84.02,44.0,56.47,35.46,74.86,46.76,46.11,35.47
2013-07-10,17.32,59.9428,83.25,43.36,55.95,34.8,74.22,47.09,46.28,35.74
2013-07-11,17.4,60.4214,83.5,43.94,57.08,35.02,75.0,47.62,47.26,36.14
2013-07-12,17.36,61.0928,82.93,43.93,58.02,35.45,75.5,48.35,48.08,36.17
2013-07-15,17.66,60.7157,82.9,44.95,58.57,35.23,75.81,48.25,48.27,36.33
2013-07-16,17.86,60.9314,83.29,44.54,58.33,35.43,75.98,48.05,48.47,36.11
2013-07-17,17.96,61.3857,82.55,43.97,58.38,35.88,75.76,48.17,48.57,35.78
2013-07-18,18.7,61.9114,81.5,43.96,58.58,35.92,75.05,48.04,48.79,35.69
